Paikka_Id,KuntaNimi,Nimi,lat,lon
1389,Enontekiö,Kilpisjärvi - luusua,68.93841531966775,20.852176443308
1113,Lieto,Juvankoski,60.575989711881114,22.759206037551746
1067,Kotka,Korkeakoski,60.531266215257475,26.90821953539357
987,Saarijärvi,Pääjärvi - luusua,62.78690926007278,24.846491362285
967,Joroinen,Maavesi,62.21897345067355,27.57686000952345
3683,Lappeenranta,Lisävesi Rakkolanjokeen,61.056827587928936,28.29917117789031
1388,Kemi,Isohaara,65.79266861022839,24.545285678902122
1114,Paimio,Juntola,60.53970951224503,22.70274405251472
1271,Suomussalmi,Vellijärvi - luusua,65.28737122542996,29.122398265724
1248,Nivala,Malisjoki,63.93280602197006,24.972209593013496
1111,Salo,Kaukolankoski,60.44029660519833,23.22626285425805
1391,Enontekiö,"Muonionjoki, Kaaresuvanto",68.44228126132305,22.494588109679174
1107,Raasepori,Peltokoski,60.14985289528039,23.83370749763565
3240,Haapajärvi,Haittaperän sp,63.73197246597169,25.428499656901394
1396,Kolari,Naamijoki,67.13438648098169,23.98198029910929
3719,Salo,Perniönjoki Pohjankoski,60.3019810932261,23.13269057507836
1250,Ylivieska,Padinki,64.00062638024747,24.766946993562044
1270,Suomussalmi,Hossanjärvi - luusua,65.41743732304322,29.552238125034666
1109,Raasepori,Billnäs,60.086015206605005,23.64283256416789
1066,Kotka,Koivukoski,60.52270748021957,26.86363163435432
970,Savitaipale,Kuolimo - luusua,61.27172972459545,27.70082542691976
1068,Kotka,Sutela,60.50916228373917,26.87641654509528
1430,Kuusamo,Muojärvi - luusua,65.87172572444219,29.95660555281712
1393,Muonio,"Muonionjoki, Muonio",67.94574804623024,23.660142691096425
1110,Salo,Koski,60.17927580013121,23.28649687952941
3241,Reisjärvi,Jalkakosken sp,63.6928765055568,25.148052628872446
2741,Savukoski,Savukoski,67.28786429676003,28.161607895063444
1019,Jyväskylä,"Palokkajärvi, Lohikoski",62.255321149842175,25.755490644652845
897,Rautjärvi,Juankoski,61.434885247531525,29.342999133129982
1351,Sodankylä,Porttipahta,67.96272159795933,26.745700884296564
2589,Vaala,Otermajärvi-luusua,64.6661177847304,26.94627646468359
964,Leppävirta,"Sorsavesi, Sorsakoski",62.449958367550686,27.65901783100577
1379,Rovaniemi,Sinettäjärvi - luusua,66.61794214770092,25.427099584942237
1122,Eurajoki,Ylinenkoski,61.17224104121225,21.66800123572568
988,Saarijärvi,Karankajärvi - luusua,62.74958159508264,24.84233969403881
962,Heinävesi,"Varisvesi, Karvio",62.51472335123847,28.63987437088912
900,Lieksa,"Jongunjoki, Viitakoski",63.563168610570685,30.0150333899048
1377,Rovaniemi,"Ounasjoki, Marraskoski",66.79487718943403,25.420244929297862
1123,Pöytyä,Yläneenjoki,60.872382002992794,22.41025740983632
3265,Loviisa,"Taasianjoki, Holmankoski",60.48519903740127,26.314188412778396
1012,Laukaa,"Leivonvesi, Simuna",62.380283152807024,26.174165976254354
1376,Sodankylä,Unari - luusua,67.13047093368793,25.74727425342261
1124,Säkylä,Pyhäjoki,61.00733555062645,22.430375256725235
1241,Reisjärvi,"Reis-Vuohtajärvi, pato",63.64432343146984,25.056602903064533
961,Heinävesi,"Juojärvi, Palokki",62.561795342739686,28.62522776496116
1374,Kittilä,"Ounasjoki, Köngäs",67.87863602408193,24.844374139421447
1125,Eura,Pyhäjärvi - luusua,61.11177379661176,22.15683107859048
1274,Suomussalmi,"Kiantajärvi, Ämmäkoski",64.87978116132149,28.915636623013306
2675,Pomarkku,Salmus ala,61.698612457422406,21.8413164637007
1063,Loviisa,"Kymijoki, kokonaisvirtaama",60.49373477069337,26.451314526392533
3264,Loviisa,"Loviisanjoki, urheilukenttä",60.46433816384634,26.225142563336004
898,Rautjärvi,Kangaskoski,61.41166958601203,29.4026719795926
1387,Keminmaa,Taivalkoski,65.93035658805977,24.71424484731748
1116,Aura,Hypöistenkoski,60.648055382505284,22.594966349387136
3260,Nokia,"Siuro, ylä",61.47714228314046,23.333268766845606
2740,Sodankylä,Kelukoski,67.45565558906665,26.596210999340876
1020,Muurame,Muuratjärvi - luusua,62.13047748457512,25.664691547971092
1386,Tervola,Ossauskoski,66.15580463125879,25.124604212155308
1246,Haapajärvi,Hinkua,63.700516416480035,25.362987944839677
1117,Turku,Halinen,60.46434392392419,22.306112953990606
1272,Suomussalmi,Pesiöjärvi - luusua,64.93230336526108,28.748144326142587
1065,Kotka,"Kymijoki, itähaara",60.52270748021957,26.86363163435432
963,Heinävesi,Kermajärvi - luusua,62.39588427435379,28.752366889347268
1383,Rovaniemi,Petäjäskoski,66.27206751549653,25.337062796505087
1242,Haapajärvi,"Settijärvi, pato",63.84342710649048,25.42724671922587
1382,Rovaniemi,Valajaskoski,66.42405156506656,25.540256947509324
1120,Uusikaupunki,Puttakoski,60.80571872482933,21.602841931950866
1243,Haapajärvi,"Kuonanjärvi, pato",63.72801607678213,25.606757671536908
1397,Pello,Pello,66.78523420665728,23.912404748542126
992,Saarijärvi,Lannevesi - luusua,62.60605990315013,25.41740128308598
944,Lapinlahti,Atro,63.372786931403894,27.988079345386428
1294,Kuhmo,Lammasjärvi - luusua,64.12745144264774,29.502605197772212
1007,Rautalampi,Hankavesi - luusua,62.61779354773675,26.70781572169871
3038,Pyhtää,Klåsarö,60.53094879660732,26.52553867771509
1315,Oulu,Porkkalan silta,65.06870855048142,26.306619203378858
1194,Pori,"Karvianjoki, kokonaisvirtaama",61.67341331773152,21.74272256568123
1218,Lapua,Tampparinkoski,62.96142117950188,23.05755075801621
1003,Tervo,"Nilakka, Äyskoski",63.011784349928035,26.67806907221961
924,Kontiolahti,"Höytiäinen, Puntarikoski",62.680002782475995,29.650929845393343
1314,Oulu,Merikoski,65.02263670583781,25.47342033443721
1195,Pori,Pohjajoki,61.67415644155713,21.74356157267887
3542,Ähtäri,"Vääräkoski, kokonaisvirtaama",62.52348649997978,24.043134249318065
1040,Iitti,Mankala,60.92617101323949,26.268887617846264
2706,Alavus,Kuorasjärvi,62.71136328662077,23.205911578545862
1217,Seinäjoki,Hirvikoski + Nurmonjoki,62.80984663191801,23.03571885069761
2719,Halsua,Venetjärvi,63.52737466959975,24.19545646721243
3540,Ähtäri,"Ryötönkoski, kokonaisvirtaama",62.51514282834538,24.11490090510293
1029,Hartola,Jääsjärvi - luusua,61.56657793213584,26.04475809578361
1192,Pori,"Eteläjoki, Paratiisink.",61.6575195521195,21.6633137004318
927,Kitee,"Pyhäjärvi, Puhos",62.095112953044215,29.876099120872468
2700,Alavus,Jääskänjärvi,62.61837895246269,23.259171972579928
1187,Kokemäki,Kolsi,61.27011689373464,22.358076094485263
931,Vieremä,"Salahminjärvi, Salahmi",63.80328772437036,26.933063624186346
1323,Taivalkoski,"Irnijärvi, pato",65.55366587632504,28.918427323557292
3538,Lapua,"Mäkelänkoski, kokonaisvirtaama",62.90881385102807,23.27722672886787
1041,Mikkeli,Rauhajärvi - luusua,61.90936350905714,26.917080387962447
1318,Oulu,Haukipudas,65.19341732535135,25.40693017583147
1188,Harjavalta,Harjavalta,61.337491216150106,22.11420192348848
3602,Joroinen,Liuna,62.17241148864767,27.793066460289488
909,Ilomantsi,"Haapajoki, Putkulankoski",63.09749977345661,31.02947243040864
2702,Alavus,Kuotesjärvi,62.634860485345314,23.387444399543465
1317,Oulu,Nuorittajoki,65.09724436189154,26.374177362812862
1191,Honkajoki,Vatajankoski,61.92631989588333,22.23941762480304
1221,Kauhava,Keppo,63.36147899384093,22.69849111689411
1293,Kuhmo,Saunajärvi - luusua,63.93046119947606,29.975306297146076
1316,Puolanka,Iso Puutiojärvi - luusua,64.86532429075841,27.59514613002195
1313,Muhos,Montta,64.82041144416887,26.014714670141334
1196,Siikainen,Lankoski,61.81221849101488,21.72386759052381
923,Polvijärvi,Rauanjoki,62.93243564000503,29.44293930613472
1203,Maalahti,Köpingsbro,62.943393909001074,21.54733362634843
1005,Rautalampi,"Niinivesi, Nokisenkoski",62.71182505862944,26.87978773435101
1305,Vaala,"Oulujärvi, Jylhämä",64.57206064699831,26.781505420451754
1204,Mustasaari,Karkkimala,63.03214526332757,21.858578745271288
919,Joensuu,"Pielisjoki, Kaltimo",62.7698321837586,30.130759926522746
1033,Asikkala,"Päijänne, Kalkkinen",61.28160132789182,25.594065125516995
3558,Pedersören kunta,Hattar,63.572945594177206,23.129020869610553
1303,Kajaani,"Nuasjärvi, Koivukoski",64.22628548925192,27.73652906340467
1210,Kurikka,Pitkämö,62.584353656778404,22.411037398407988
3568,Kurikka,"Jalasjoki, Jalasjärvi",62.49617069590007,22.74307420371026
1030,Asikkala,"Vesijärvi, Vääksynjoki",61.17658091393627,25.53713715165185
2716,Kaustinen,Vissavesi,63.5465711777923,23.80830540442069
917,Joensuu,"Koitajoki, Pamilo",62.80099913627684,30.429037701881732
1301,Sotkamo,Jormasjärvi - luusua,64.08733917646353,28.15925005248458
1212,Seinäjoki,Kalajärvi + Seinäjoki,62.55895905151385,23.060135992621326
1299,Kuhmo,"Ontojärvi, Katerma",64.09615237845561,28.974145074635953
1214,Mustasaari,Skatila,63.09197525303369,21.884198464661043
1307,Vaala,Nuojua,64.57715234428251,26.715306636345698
3551,Kurikka,Liikapuron tekojärvi pato,62.36803283661352,23.082724306819628
3581,Hamina,"Reitkalli, Puutarhak. silta",60.62022770228691,27.10056580648627
